Image_Name,Region,Density,Complexity,Colors,Motif,Symmetry,Description
pattern_1_vector.png,Asiri,Medium,Medium,"Blue, Black, Pink",Geometric,Yes,Balanced Asiri pattern with a central geometric star.
pattern_3_vector.png,Sadu,Dense,High,"Purple, Yellow, Black",Lines / Triangles,Yes,Dense Sadu pattern with repetitive vertical lines.
pattern_4_vector.png,Najdi,Medium,Medium,"Orange, Blue, Brown",Triangles,Yes,Najdi geometric pattern with triangles and a central circle.
pattern_5_vector.png,Asiri,Dense,High,"Pink, Black, Cyan",Geometric,Yes,Highly complex Asiri pattern with cross-axial motifs.
pattern_6_vector.png,Sadu,Sparse,Low,"Blue, Orange, Grey",Lines,Yes,Simple Sadu design with a central spine line.
pattern_7_vector.png,Sadu,Dense,Medium,"Green, Black, Pink",Lines,Yes,Dense Sadu pattern with repetitive zigzag line motifs.
pattern_8_vector.png,Asiri,Dense,High,"Black, Yellow, Cyan",Grid / Dots,Yes,Complex Asiri grid with serrated edges and dot details.
pattern_9_vector.png,Najdi,Medium,Low,"Orange, Pink, Brown",Lines / Dots,Yes,Clean Najdi layout with vertical lines and dotted accents.
pattern_10_vector.png,Najdi,Sparse,Medium,"Brown, White, Green",Triangles / Lines,No,Najdi-style diamond with asymmetrical arrow-like rays.
pattern_11_vector.png,Najdi,Dense,Medium,"Cyan, Black",Grid,Yes,High-density Najdi checkerboard grid pattern.
pattern_12_vector.png,Asiri,Medium,High,"Brown, Teal, Orange",Geometric / Dots,Yes,Layered Asiri diamond motif with intricate dotted borders.
pattern_13_vector.png,Sadu,Sparse,Low,"Beige, Brown, Green",Triangles,Yes,Simple Sadu border with upper and lower triangles.
pattern_14_vector.png,Najdi,Sparse,Low,"Navy, Orange, Yellow",Geometric,Yes,Minimalist Najdi star motif on a dark background.
pattern_15_vector.png,Sadu,Medium,Medium,"White, Blue, Yellow",Lines,No,Sadu tree-like motifs with varied vertical placements.
pattern_16_vector.png,Najdi,Sparse,Low,"Beige, Green, Brown",Geometric,Yes,Basic Najdi representation of a tree using triangles.
pattern_17_vector.png,Asiri,Dense,High,"Red, Blue, Yellow",Grid,Yes,High complexity Asiri mosaic with a dense grid structure.
pattern_18_vector.png,Asiri,Dense,High,"Lime, Cyan, Pink",Lines / Dots,No,Complex Asiri vertical stripes with asymmetrical accents.
pattern_20_vector.png,Najdi,Sparse,Low,"Blue, Orange, Black",Geometric,Yes,Simple Najdi star with internal dotted line segments.
pattern_21_vector.png,Najdi,Medium,Medium,"Yellow, Pink, Blue",Grid / Triangles,Yes,Balanced Najdi pattern with layered geometric squares.
pattern_22_vector.png,Sadu,Sparse,Low,"Red, Black, White",Triangles / Lines,Yes,Traditional Sadu pattern with basic line and triangle motifs.
pattern_23_vector.png,Najdi,Sparse,Low,"Brown, Yellow, White",Triangles,Yes,Minimalist Najdi triangle motif on a solid background.
pattern_24_vector.png,Asiri,Medium,Medium,"Orange, Black, Blue",Dots / Geometric,Yes,Balanced Asiri motif with a central star and dot accents.
aug_1_Dense.png,Asiri,Dense,High,"Pink, Black, Blue",Geometric / Grid,Yes,High-density Asiri augmentation with repeating geometric star tiles.
aug_1_Medium.png,Asiri,Medium,Medium,"Pink, Black, Blue",Geometric,Yes,Tiled Asiri pattern with moderate spacing between geometric motifs.
aug_2_Dense.png,Najdi,Dense,Medium,"Orange, Brown, White",Triangles / Dots,Yes,Dense Najdi tiling featuring repetitive triangles and circular accents.
aug_3_Medium.png,Asiri,Medium,Medium,"Pink, Black, Cyan",Geometric,Yes,Balanced Asiri tile layout with a focus on cross-axial symmetry.
aug_4_Medium.png,Najdi,Medium,Low,"Orange, Brown, White",Triangles,Yes,Repetitive Najdi triangular motifs with clean spacing and low complexity.
aug_5_Sparse.png,Sadu,Sparse,Low,"Blue, Orange, Grey",Lines,No,Scattered Sadu line motifs with significant negative space.
aug_6_Dense.png,Sadu,Dense,Medium,"Green, Black, Pink",Lines,Yes,Full-surface Sadu augmentation with dense zigzag line patterns.
aug_7_Dense.png,Asiri,Dense,High,"Black, Yellow, Cyan",Grid / Dots,Yes,Intricate Asiri grid augmentation with high visual density and detail.
aug_8_Medium.png,Najdi,Medium,Medium,"Orange, Pink, Brown",Lines / Dots,Yes,Tiled Najdi pattern with repeating vertical lines and dot sequences.
aug_9_Sparse.png,Najdi,Sparse,Low,"Orange, Pink, Brown",Lines / Dots,No,Najdi augmentation with widely spaced vertical line and dot elements.
aug_10_Sparse.png,Najdi,Sparse,Medium,"Brown, White, Lime",Triangles / Lines,No,Scattered Najdi diamond and arrow motifs with low visual overlap.
aug_11_Dense.png,Najdi,Dense,Medium,"Cyan, Black",Grid,Yes,High-density Najdi checkerboard tiling covering the entire frame.
aug_12_Medium.png,Asiri,Medium,High,"Brown, Teal, Orange",Geometric / Dots,Yes,Tiled Asiri diamonds with detailed borders and moderate density.
aug_13_Sparse.png,Sadu,Sparse,Low,"Beige, Brown, Green",Triangles,No,Minimalist Sadu augmentation with isolated border triangle motifs.
aug_14_Dense.png,Najdi,Dense,Medium,"Navy, Orange, Yellow",Geometric,Yes,Dense tiling of Najdi star motifs creating a repetitive pattern.
aug_15_Sparse.png,Sadu,Sparse,Medium,"White, Blue, Yellow",Lines,No,Sadu tree-like linear motifs distributed sparsely across the field.
aug_16_Medium.png,Najdi,Medium,Low,"Beige, Green, Brown",Geometric,Yes,Standard Najdi tree motifs repeated in a balanced grid layout.
aug_17_Dense.png,Asiri,Dense,High,"Red, Blue, Yellow",Grid,Yes,Full-coverage Asiri mosaic tiling with high complexity and detail.
aug_18_Medium.png,Asiri,Medium,High,"Lime, Cyan, Pink",Lines / Dots,No,Asiri vertical stripe augmentation with varied motif placements.
aug_19_Medium.png,Najdi,Medium,Medium,"Yellow, Pink, Blue",Geometric / Grid,Yes,Tiled Najdi pattern with repetitive squares and balanced spacing.
aug_20_Medium.png,Najdi,Medium,Medium,"Yellow, Pink, Blue",Geometric / Grid,Yes,Parallel Najdi augmentation featuring alternating geometric tiles.
aug_21_Medium.png,Najdi,Medium,Medium,"Yellow, Pink, Blue",Geometric,Yes,Symmetrical Najdi pattern with a focus on layered square motifs.
aug_22_Dense.png,Sadu,Dense,Medium,"Red, Black, White",Triangles / Lines,Yes,Dense Sadu tiling with repetitive linear and triangular segments.
aug_23_Medium.png,Sadu,Medium,Medium,"Red, Black, White",Triangles / Lines,Yes,Balanced Sadu augmentation with rhythmic triangle motifs.
aug_24_Sparse.png,Sadu,Sparse,Low,"Red, Black, White",Triangles / Lines,No,Scattered Sadu elements with focus on negative space.
aug_25_Sparse.png,Najdi,Sparse,Low,"Brown, Yellow, White",Triangles,No,Minimalist Najdi triangles distributed sparsely across the frame.
aug_26_Sparse.png,Najdi,Sparse,Low,"Brown, Yellow, White",Triangles,No,Najdi augmentation with isolated triangular motifs.
